power	integration	peak value	peak location
-0,001076	194514,756048	0,000000	0,000000
-0,001059	194139,117125	0,000000	0,000000
-0,000218	194083,240835	0,000000	0,000000
-0,000860	194674,872140	0,000000	0,000000
-0,000906	194418,029026	0,000000	0,000000
-0,000513	194740,608951	0,000000	0,000000
-0,000978	194740,608951	0,000000	0,000000
-0,001299	194005,295758	0,000000	0,000000
-0,000903	193873,822135	0,000000	0,000000
-0,000925	195037,363701	0,000000	0,000000
-0,000854	194005,295758	0,000000	0,000000
-0,001183	195282,468099	0,000000	0,000000
