power	integration	peak value	peak location
-0,000787	195132,682078	0,000000	0,000000
-0,000872	195132,682078	0,000000	0,000000
-0,001247	194965,992305	0,000000	0,000000
-0,001221	194965,992305	0,000000	0,000000
-0,001062	194137,708479	0,000000	0,000000
-0,001165	194591,292479	0,000000	0,000000
-0,000505	195465,122525	0,000000	0,000000
0,000379	195142,542599	0,000000	0,000000
-0,000087	195414,880819	0,000000	0,000000
0,000049	194788,972463	0,000000	0,000000
-0,001129	194622,282690	0,000000	0,000000
