311600,720833
310291,234444
311495,136667
311495,136667
313961,194444
314532,805278
318111,744444
315359,274444
317076,534167
319495,261111
323327,845000
326700,470278
327224,750278
333383,826667
333383,826667
342450,715278
342450,715278
345688,629722
346867,046111
350767,592222
346636,460000
349073,391111
349073,391111
361208,288611
365726,562778
364758,101111
364758,101111
371723,015278
377464,609444
384976,862222
384976,862222
382230,460278
382230,460278
390650,494167
401636,101944
401636,101944
412280,685000
419123,024444
442055,420000
447398,949722
447398,949722
451088,327500
448526,394444
469780,365833
469780,365833
468508,501389
469091,034722
469091,034722
475764,682222
475764,682222
480904,325278
482653,138889
486540,335278
499439,807778
485466,289444
485466,289444
507604,983333
522953,523056
522953,523056
506470,256944
505161,984167
505161,984167
532683,043333
532683,043333
528899,003889
527769,131944
534788,658611
548508,532222
548508,532222
552236,745556
564963,885278
564963,885278
555006,206111
564649,560000
564188,387778
564188,387778
556102,096944
558864,275833
558864,275833
313371,379444
311620,138611
311620,138611
312672,339444
312672,339444
312387,140833
314017,020556
314017,020556
319679,730000
322905,508333
325495,354444
330101,008611
333592,567778
333592,567778
336843,831944
336843,831944
335398,421111
343475,003056
341792,938056
347483,560556
347518,755278
347518,755278
352617,135556
358646,355556
367528,775278
369754,538056
365404,955833
365404,955833
364668,293889
369998,473889
376192,745000
387742,681944
387742,681944
392009,738611
392009,738611
394890,851389
395001,290000
399767,140833
399218,588611
400969,829444
400969,829444
424303,930278
424303,930278
421019,898611
425532,104722
443629,473611
452763,110833
452288,588889
452835,927500
450458,463333
455516,794444
471281,602778
465583,698611
465583,698611
462867,636944
466302,156389
466302,156389
477934,618889
485273,325278
490181,168611
490181,168611
510571,048889
516552,938056
516552,938056
528321,325000
526544,598333
526544,598333
505978,744444
499495,633889
506726,328889
517839,365833
530503,397778
527695,101667
529065,268611
529065,268611
526610,133333
533283,780833
533283,780833
538730,467500
540032,672222
547507,303056
540049,662778
548404,161667
548404,161667
559296,321389
556261,080000
551544,987222
552981,902778
542104,306389
548127,458333
546571,608889
546571,608889
