-0,001076	-0,001059	-0,000218	-0,000860	-0,000906	-0,000513	-0,000978	-0,001299	-0,000903	-0,000925	-0,000854	-0,001183

178,106480	827,682778	815,546667	817,973889	798,556111	805,837778	927,198889	927,198889	771,856667	817,973889	844,673333	759,720556	803,410556
178,493382	827,682778	815,546667	817,973889	798,556111	805,837778	927,198889	927,198889	771,856667	817,973889	844,673333	759,720556	803,410556
178,880256	827,682778	815,546667	817,973889	798,556111	805,837778	927,198889	927,198889	771,856667	817,973889	844,673333	759,720556	803,410556
179,267103	703,894444	696,612778	752,438889	764,575000	667,486111	786,420000	786,420000	684,476667	735,448333	750,011667	691,758333	689,331111
179,653922	750,011667	713,603333	711,176111	735,448333	696,612778	696,612778	696,612778	720,885000	752,438889	723,312222	745,157222	643,213889
180,040713	711,176111	662,631667	691,758333	713,603333	694,185556	757,293333	757,293333	696,612778	662,631667	691,758333	745,157222	728,166667
180,427476	737,875556	706,321667	711,176111	657,777222	740,302778	689,331111	689,331111	745,157222	672,340556	742,730000	684,476667	694,185556
180,814211	701,467222	711,176111	728,166667	662,631667	701,467222	720,885000	720,885000	696,612778	652,922778	638,359444	662,631667	679,622222
181,200918	689,331111	667,486111	786,420000	703,894444	737,875556	699,040000	699,040000	648,068333	745,157222	672,340556	657,777222	696,612778
181,587598	696,612778	679,622222	686,903889	737,875556	706,321667	703,894444	703,894444	718,457778	735,448333	747,584444	691,758333	691,758333
181,974250	684,476667	757,293333	616,514444	657,777222	762,147778	655,350000	655,350000	703,894444	672,340556	706,321667	679,622222	720,885000
182,360873	662,631667	631,077778	662,631667	660,204444	672,340556	686,903889	686,903889	740,302778	728,166667	669,913333	672,340556	665,058889
182,747469	728,166667	699,040000	720,885000	752,438889	752,438889	682,049444	682,049444	735,448333	769,429444	665,058889	618,941667	754,866111
183,134037	623,796111	652,922778	672,340556	720,885000	730,593889	706,321667	706,321667	679,622222	708,748889	716,030556	711,176111	640,786667
183,520577	711,176111	650,495556	626,223333	708,748889	652,922778	672,340556	672,340556	713,603333	779,138333	718,457778	737,875556	703,894444
183,907089	735,448333	759,720556	652,922778	699,040000	638,359444	657,777222	657,777222	643,213889	689,331111	672,340556	713,603333	718,457778
184,293573	703,894444	669,913333	638,359444	638,359444	706,321667	706,321667	706,321667	706,321667	694,185556	752,438889	706,321667	769,429444
184,680029	728,166667	686,903889	657,777222	679,622222	672,340556	723,312222	723,312222	723,312222	660,204444	703,894444	716,030556	657,777222
185,066457	793,701667	723,312222	762,147778	674,767778	752,438889	718,457778	718,457778	740,302778	800,983333	740,302778	771,856667	783,992778
185,452857	713,603333	754,866111	674,767778	689,331111	752,438889	669,913333	669,913333	691,758333	682,049444	745,157222	723,312222	720,885000
185,839229	740,302778	703,894444	716,030556	752,438889	754,866111	754,866111	754,866111	733,021111	706,321667	660,204444	720,885000	762,147778
186,225573	733,021111	706,321667	720,885000	723,312222	757,293333	776,711111	776,711111	757,293333	776,711111	767,002222	767,002222	711,176111
186,611889	747,584444	711,176111	718,457778	735,448333	703,894444	699,040000	699,040000	720,885000	754,866111	779,138333	757,293333	677,195000
186,998176	740,302778	767,002222	701,467222	696,612778	686,903889	830,110000	830,110000	810,692222	757,293333	762,147778	815,546667	774,283889
187,384436	800,983333	711,176111	708,748889	733,021111	694,185556	771,856667	771,856667	725,739444	737,875556	737,875556	839,818889	779,138333
187,770668	677,195000	711,176111	735,448333	769,429444	769,429444	786,420000	786,420000	805,837778	737,875556	745,157222	694,185556	873,800000
188,156871	783,992778	813,119444	839,818889	745,157222	793,701667	776,711111	776,711111	798,556111	791,274444	716,030556	730,593889	776,711111
188,543046	798,556111	769,429444	759,720556	796,128889	735,448333	810,692222	810,692222	774,283889	742,730000	774,283889	774,283889	832,537222
188,929193	725,739444	762,147778	902,926667	815,546667	820,401111	796,128889	796,128889	830,110000	798,556111	730,593889	793,701667	793,701667
189,315312	779,138333	771,856667	762,147778	781,565556	798,556111	837,391667	837,391667	771,856667	764,575000	791,274444	783,992778	769,429444
189,701403	820,401111	793,701667	905,353889	813,119444	834,964444	854,382222	854,382222	774,283889	817,973889	786,420000	786,420000	791,274444
190,087466	764,575000	803,410556	798,556111	762,147778	776,711111	730,593889	730,593889	771,856667	767,002222	917,490000	834,964444	822,828333
190,473500	847,100556	786,420000	834,964444	725,739444	742,730000	864,091111	864,091111	832,537222	851,955000	745,157222	798,556111	815,546667
190,859506	834,964444	864,091111	861,663889	837,391667	876,227222	907,781111	907,781111	798,556111	868,945556	783,992778	905,353889	759,720556
191,245484	851,955000	803,410556	834,964444	866,518333	805,837778	808,265000	808,265000	745,157222	830,110000	750,011667	854,382222	834,964444
191,631434	764,575000	820,401111	917,490000	803,410556	788,847222	791,274444	791,274444	808,265000	854,382222	796,128889	839,818889	851,955000
192,017355	771,856667	788,847222	830,110000	774,283889	883,508889	771,856667	771,856667	800,983333	871,372778	832,537222	820,401111	808,265000
192,403248	854,382222	881,081667	893,217778	890,790556	834,964444	834,964444	834,964444	849,527778	813,119444	878,654444	815,546667	834,964444
192,789113	871,372778	822,828333	803,410556	859,236667	822,828333	871,372778	871,372778	856,809444	805,837778	885,936111	805,837778	805,837778
193,174949	885,936111	851,955000	900,499444	888,363333	834,964444	861,663889	861,663889	798,556111	851,955000	798,556111	839,818889	868,945556
193,560757	842,246111	825,255556	842,246111	842,246111	890,790556	854,382222	854,382222	842,246111	902,926667	786,420000	793,701667	825,255556
