"RawData - File_210319_171409.spc"
"Wavelength nm."	"T%"
577.00	90.379
578.00	90.657
579.00	90.871
580.00	91.083
581.00	91.281
582.00	91.437
583.00	91.573
584.00	91.670
585.00	91.737
586.00	91.832
587.00	91.905
588.00	91.982
589.00	92.058
590.00	92.091
591.00	92.104
592.00	92.148
593.00	92.186
594.00	92.201
595.00	92.249
596.00	92.296
597.00	92.310
598.00	92.308
599.00	92.293
600.00	92.300
601.00	92.300
602.00	92.296
603.00	92.307
604.00	92.297
605.00	92.302
606.00	92.282
607.00	92.339
608.00	92.361
609.00	92.366
610.00	92.371
611.00	92.336
612.00	92.316
613.00	92.343
614.00	92.322
615.00	92.297
616.00	92.296
617.00	92.323
618.00	92.323
619.00	92.316
620.00	92.308
621.00	92.293
622.00	92.307
623.00	92.300
624.00	92.282
625.00	92.273
626.00	92.267
627.00	92.281
628.00	92.264
629.00	92.258
630.00	92.256
631.00	92.258
632.00	92.255
633.00	92.273
634.00	92.355
635.00	92.322
636.00	92.317
637.00	92.342
638.00	92.360
639.00	92.320
640.00	92.314
641.00	92.303
642.00	92.274
643.00	92.207
644.00	92.151
645.00	92.131
646.00	92.123
647.00	92.117
648.00	92.093
649.00	92.064
650.00	92.131
651.00	92.123
652.00	92.160
653.00	92.148
654.00	92.159
655.00	92.175
656.00	92.174
657.00	92.210
658.00	92.191
659.00	92.188
660.00	92.183
661.00	92.184
662.00	92.174
663.00	92.166
664.00	92.186
665.00	92.183
666.00	92.183
667.00	92.168
668.00	92.151
669.00	92.134
670.00	92.126
671.00	92.111
672.00	92.107
673.00	92.097
674.00	92.117
675.00	92.097
676.00	92.108
677.00	92.079
678.00	92.078
679.00	92.065
680.00	92.061
681.00	92.072
682.00	92.052
683.00	92.046
684.00	92.050
685.00	92.070
686.00	92.061
687.00	92.047
688.00	92.039
689.00	92.050
690.00	92.030
691.00	92.001
692.00	92.006
693.00	91.994
694.00	91.989
695.00	91.965
696.00	91.978
697.00	91.951
698.00	91.959
699.00	91.977
700.00	91.949
701.00	91.919
702.00	91.937
703.00	91.914
704.00	91.902
705.00	91.872
706.00	91.882
707.00	91.875
708.00	91.872
709.00	91.858
710.00	91.867
711.00	91.855
712.00	91.864
713.00	91.852
714.00	91.835
715.00	91.817
716.00	91.797
717.00	91.792
718.00	91.769
719.00	91.753
720.00	91.743
721.00	91.739
722.00	91.739
723.00	91.727
724.00	91.711
725.00	91.719
726.00	91.725
727.00	91.719
728.00	91.708
729.00	91.678
730.00	91.663
731.00	91.653
732.00	91.653
733.00	91.650
734.00	91.647
735.00	91.646
736.00	91.655
737.00	91.628
738.00	91.603
739.00	91.588
740.00	91.592
741.00	91.589
742.00	91.563
743.00	91.562
744.00	91.566
745.00	91.537
746.00	91.531
747.00	91.537
748.00	91.505
749.00	91.504
750.00	91.495
751.00	91.489
752.00	91.487
753.00	91.463
754.00	91.463
755.00	91.449
756.00	91.446
757.00	91.443
758.00	91.423
759.00	91.402
760.00	91.287
761.00	91.447
762.00	91.403
763.00	91.394
764.00	91.350
765.00	91.345
766.00	91.338
767.00	91.345
768.00	91.341
769.00	91.333
770.00	91.313
771.00	91.331
772.00	91.324
773.00	91.312
774.00	91.313
775.00	91.283
776.00	91.292
777.00	91.246
778.00	91.261
779.00	91.261
780.00	91.245
781.00	91.246
782.00	91.185
783.00	91.176
784.00	91.179
785.00	91.206
786.00	91.194
787.00	91.196
788.00	91.185
789.00	91.162
790.00	91.165
791.00	91.147
792.00	91.136
793.00	91.138
794.00	91.115
795.00	91.098
796.00	91.096
797.00	91.072
798.00	91.052
799.00	91.051
800.00	91.034
801.00	91.040
802.00	91.052
803.00	91.040
804.00	91.035
805.00	91.025
806.00	91.016
807.00	90.987
808.00	90.994
809.00	90.977
810.00	90.945
811.00	90.956
812.00	90.941
813.00	90.926
814.00	90.912
815.00	90.933
816.00	90.929
817.00	90.930
818.00	90.918
819.00	90.894
820.00	90.880
821.00	90.880
822.00	90.887
823.00	90.863
824.00	90.872
825.00	90.858
826.00	90.857
827.00	90.836
828.00	90.851
829.00	90.823
830.00	90.822
831.00	90.813
832.00	90.828
833.00	90.826
834.00	90.808
835.00	90.759
836.00	90.778
837.00	90.779
838.00	90.764
839.00	90.762
840.00	90.768
841.00	90.746
842.00	90.744
843.00	90.752
844.00	90.765
845.00	90.742
846.00	90.721
847.00	90.710
848.00	90.685
849.00	90.663
850.00	90.671
851.00	90.677
852.00	90.689
853.00	90.692
854.00	90.672
855.00	90.659
856.00	90.654
857.00	90.646
