"RawData - File_210310_100927.spc"
"Wavelength nm."	"Abs."
190.00	2.823
191.00	3.747
192.00	3.349
193.00	3.830
194.00	3.530
195.00	3.876
196.00	3.941
197.00	3.963
198.00	3.810
199.00	3.823
200.00	3.865
201.00	3.863
202.00	3.779
203.00	3.912
204.00	3.973
205.00	3.966
206.00	3.947
207.00	3.983
208.00	3.958
209.00	3.969
210.00	3.903
211.00	3.956
212.00	3.870
213.00	3.910
214.00	3.986
215.00	4.000
216.00	3.905
217.00	3.941
218.00	3.917
219.00	3.903
220.00	3.985
221.00	3.944
222.00	3.900
223.00	3.954
224.00	3.945
225.00	3.811
226.00	3.971
227.00	3.953
228.00	3.889
229.00	3.928
230.00	3.799
231.00	3.709
232.00	3.856
233.00	3.878
234.00	3.903
235.00	3.931
236.00	3.896
237.00	3.980
238.00	3.889
239.00	3.788
240.00	3.764
241.00	3.952
242.00	3.860
243.00	3.700
244.00	3.898
245.00	3.920
246.00	3.666
247.00	3.648
248.00	3.756
249.00	3.681
250.00	3.680
251.00	3.669
252.00	3.653
253.00	3.560
254.00	3.634
255.00	3.759
256.00	3.773
257.00	3.642
258.00	3.609
259.00	3.724
260.00	3.700
261.00	3.616
262.00	3.694
263.00	3.717
264.00	3.737
265.00	3.644
266.00	3.791
267.00	3.616
268.00	3.786
269.00	3.429
270.00	3.541
271.00	3.516
272.00	3.877
273.00	3.658
274.00	3.565
275.00	3.715
276.00	3.572
277.00	3.435
278.00	3.530
279.00	3.859
280.00	3.377
281.00	3.613
282.00	3.484
283.00	3.491
284.00	3.653
285.00	3.569
286.00	3.441
287.00	3.527
288.00	3.687
289.00	3.628
290.00	3.557
291.00	3.573
292.00	3.558
293.00	3.483
294.00	3.548
295.00	3.571
296.00	3.545
297.00	3.636
298.00	3.625
299.00	3.486
300.00	3.668
301.00	3.570
302.00	3.645
303.00	3.553
304.00	3.483
305.00	3.567
306.00	3.531
307.00	3.444
308.00	3.465
309.00	3.818
310.00	3.570
311.00	3.714
312.00	3.850
313.00	3.914
314.00	3.929
315.00	3.763
316.00	3.587
317.00	3.682
318.00	3.617
319.00	3.828
320.00	3.677
321.00	3.592
322.00	3.732
323.00	3.710
324.00	3.637
325.00	3.783
326.00	3.558
327.00	3.753
328.00	3.857
329.00	3.806
330.00	3.501
331.00	3.588
332.00	3.658
