"RawData - Lente direita 029 lote 18 - Shimadzu.txt_162154.spc"
"Wavelength nm."	"T%"
575.00	80.574
576.00	80.652
577.00	80.728
578.00	80.823
579.00	80.922
580.00	81.046
581.00	81.143
582.00	81.250
583.00	81.342
584.00	81.456
585.00	81.566
586.00	81.699
587.00	81.779
588.00	81.853
589.00	81.966
590.00	82.076
591.00	82.162
592.00	82.263
593.00	82.356
594.00	82.448
595.00	82.558
596.00	82.634
597.00	82.689
598.00	82.784
599.00	82.834
600.00	82.907
601.00	82.997
602.00	83.093
603.00	83.151
604.00	83.231
605.00	83.290
606.00	83.365
607.00	83.406
608.00	83.484
609.00	83.562
610.00	83.604
611.00	83.646
612.00	83.679
613.00	83.734
614.00	83.780
615.00	83.820
616.00	83.865
617.00	83.899
618.00	83.969
619.00	84.027
620.00	84.064
621.00	84.094
622.00	84.152
623.00	84.177
624.00	84.225
625.00	84.259
626.00	84.279
627.00	84.300
628.00	84.332
629.00	84.369
630.00	84.375
631.00	84.402
632.00	84.436
633.00	84.506
634.00	84.521
635.00	84.547
636.00	84.602
637.00	84.625
638.00	84.631
639.00	84.636
640.00	84.657
641.00	84.680
642.00	84.712
643.00	84.714
644.00	84.705
645.00	84.726
646.00	84.747
647.00	84.767
648.00	84.782
649.00	84.807
650.00	84.813
651.00	84.824
652.00	84.837
653.00	84.845
654.00	84.888
655.00	84.908
656.00	84.908
657.00	84.900
658.00	84.932
659.00	84.950
660.00	84.964
661.00	84.976
662.00	84.995
663.00	84.981
664.00	85.005
665.00	85.031
666.00	85.027
667.00	85.051
668.00	85.052
669.00	85.062
670.00	85.095
671.00	85.095
672.00	85.095
673.00	85.109
674.00	85.124
675.00	85.146
676.00	85.115
677.00	85.143
678.00	85.168
679.00	85.167
680.00	85.176
681.00	85.173
682.00	85.207
683.00	85.197
684.00	85.190
685.00	85.211
686.00	85.233
687.00	85.236
688.00	85.257
689.00	85.266
690.00	85.251
691.00	85.257
692.00	85.281
693.00	85.266
694.00	85.284
695.00	85.280
696.00	85.292
697.00	85.321
698.00	85.326
699.00	85.336
700.00	85.330
701.00	85.324
702.00	85.309
703.00	85.324
704.00	85.333
705.00	85.321
706.00	85.350
707.00	85.350
708.00	85.368
709.00	85.373
710.00	85.361
711.00	85.373
712.00	85.403
713.00	85.399
714.00	85.378
715.00	85.385
716.00	85.419
717.00	85.420
718.00	85.413
719.00	85.403
720.00	85.393
721.00	85.406
722.00	85.410
723.00	85.400
724.00	85.414
725.00	85.439
726.00	85.452
727.00	85.455
728.00	85.440
729.00	85.431
730.00	85.445
731.00	85.419
732.00	85.440
733.00	85.445
734.00	85.442
735.00	85.440
736.00	85.454
737.00	85.457
738.00	85.439
739.00	85.431
740.00	85.460
741.00	85.434
742.00	85.449
743.00	85.466
744.00	85.437
745.00	85.425
746.00	85.460
747.00	85.495
748.00	85.480
749.00	85.455
750.00	85.463
751.00	85.484
752.00	85.497
753.00	85.512
754.00	85.516
755.00	85.501
756.00	85.503
757.00	85.519
758.00	85.542
759.00	85.553
760.00	86.552
761.00	85.883
762.00	85.493
763.00	85.498
764.00	85.515
765.00	85.493
766.00	85.509
767.00	85.524
768.00	85.542
769.00	85.538
770.00	85.553
771.00	85.538
772.00	85.550
773.00	85.567
774.00	85.547
775.00	85.538
776.00	85.526
777.00	85.542
778.00	85.555
779.00	85.568
780.00	85.558
781.00	85.577
782.00	85.555
783.00	85.553
784.00	85.573
785.00	85.593
786.00	85.585
787.00	85.590
788.00	85.609
789.00	85.580
790.00	85.593
791.00	85.593
792.00	85.585
793.00	85.606
794.00	85.617
795.00	85.594
796.00	85.603
797.00	85.594
798.00	85.603
799.00	85.631
800.00	85.611
801.00	85.628
802.00	85.643
803.00	85.632
804.00	85.628
805.00	85.608
806.00	85.606
807.00	85.616
808.00	85.616
809.00	85.622
810.00	85.594
811.00	85.603
812.00	85.616
813.00	85.617
814.00	85.625
815.00	85.626
816.00	85.629
817.00	85.629
818.00	85.614
819.00	85.626
820.00	85.638
821.00	85.632
822.00	85.623
823.00	85.641
824.00	85.638
825.00	85.637
826.00	85.652
827.00	85.667
828.00	85.669
829.00	85.669
830.00	85.674
831.00	85.628
832.00	85.612
833.00	85.641
834.00	85.660
835.00	85.658
836.00	85.631
837.00	85.623
838.00	85.649
839.00	85.663
840.00	85.638
841.00	85.619
842.00	85.646
843.00	85.654
844.00	85.640
845.00	85.640
846.00	85.638
847.00	85.628
848.00	85.628
849.00	85.666
850.00	85.641
851.00	85.611
852.00	85.638
853.00	85.631
854.00	85.622
855.00	85.634
856.00	85.588
857.00	85.608
858.00	85.619
859.00	85.588
860.00	85.551
861.00	85.571
862.00	85.553
863.00	85.504
864.00	85.503
865.00	85.492
866.00	85.474
867.00	85.442
868.00	85.451
869.00	85.457
870.00	85.442
871.00	85.448
872.00	85.457
873.00	85.458
874.00	85.493
875.00	85.503
876.00	85.501
877.00	85.486
878.00	85.478
879.00	85.504
880.00	85.500
881.00	85.460
882.00	85.437
883.00	85.431
884.00	85.428
885.00	85.411
886.00	85.382
887.00	85.352
888.00	85.329
889.00	85.315
890.00	85.312
891.00	85.312
892.00	85.283
893.00	85.251
894.00	85.236
895.00	85.226
896.00	85.216
897.00	85.193
898.00	85.187
899.00	85.153
900.00	85.139
901.00	85.164
902.00	85.118
903.00	85.127
904.00	85.129
905.00	85.139
906.00	85.146
907.00	85.136
908.00	85.139
909.00	85.147
910.00	85.158
911.00	85.181
912.00	85.205
913.00	85.226
914.00	85.228
915.00	85.237
916.00	85.248
917.00	85.284
918.00	85.287
919.00	85.310
920.00	85.339
921.00	85.393
922.00	85.410
923.00	85.426
924.00	85.443
925.00	85.445
926.00	85.426
927.00	85.454
928.00	85.457
929.00	85.474
930.00	85.480
931.00	85.518
932.00	85.475
933.00	85.469
934.00	85.472
935.00	85.439
936.00	85.434
937.00	85.477
938.00	85.512
939.00	85.498
940.00	85.519
941.00	85.477
942.00	85.481
943.00	85.541
944.00	85.512
945.00	85.521
946.00	85.553
947.00	85.483
948.00	85.510
949.00	85.542
950.00	85.519
951.00	85.500
952.00	85.515
953.00	85.490
954.00	85.451
955.00	85.480
956.00	85.440
957.00	85.350
958.00	85.355
959.00	85.352
960.00	85.265
961.00	85.294
962.00	85.295
963.00	85.213
964.00	85.229
965.00	85.182
966.00	85.229
967.00	85.165
968.00	85.181
969.00	85.161
970.00	85.139
971.00	85.162
972.00	85.123
973.00	85.149
974.00	85.115
975.00	85.152
976.00	85.129
977.00	85.112
978.00	85.103
979.00	85.109
980.00	85.132
981.00	85.110
982.00	85.110
983.00	85.124
984.00	85.147
985.00	85.139
986.00	85.106
987.00	85.153
988.00	85.139
989.00	85.109
990.00	85.146
991.00	85.138
992.00	85.156
993.00	85.150
994.00	85.156
995.00	85.175
996.00	85.187
997.00	85.170
998.00	85.187
999.00	85.185
1000.00	85.191
1001.00	85.193
1002.00	85.201
1003.00	85.201
1004.00	85.176
1005.00	85.187
1006.00	85.185
1007.00	85.185
1008.00	85.179
1009.00	85.184
1010.00	85.184
1011.00	85.181
1012.00	85.172
1013.00	85.188
1014.00	85.168
1015.00	85.146
1016.00	85.175
1017.00	85.161
1018.00	85.149
1019.00	85.168
1020.00	85.184
1021.00	85.199
1022.00	85.199
1023.00	85.176
1024.00	85.220
1025.00	85.236
1026.00	85.252
1027.00	85.217
1028.00	85.190
1029.00	85.178
1030.00	85.208
1031.00	85.226
1032.00	85.255
1033.00	85.271
1034.00	85.295
1035.00	85.278
1036.00	85.297
1037.00	85.275
1038.00	85.286
1039.00	85.312
1040.00	85.332
1041.00	85.356
1042.00	85.361
1043.00	85.393
1044.00	85.378
1045.00	85.384
1046.00	85.381
1047.00	85.399
1048.00	85.402
1049.00	85.408
1050.00	85.402
1051.00	85.414
1052.00	85.402
1053.00	85.411
1054.00	85.432
1055.00	85.429
1056.00	85.457
1057.00	85.443
1058.00	85.474
1059.00	85.507
1060.00	85.495
1061.00	85.501
1062.00	85.513
1063.00	85.539
1064.00	85.551
1065.00	85.564
1066.00	85.553
1067.00	85.559
1068.00	85.558
1069.00	85.550
1070.00	85.553
1071.00	85.593
1072.00	85.583
1073.00	85.597
1074.00	85.580
1075.00	85.577
1076.00	85.573
1077.00	85.564
1078.00	85.541
1079.00	85.526
1080.00	85.574
1081.00	85.612
1082.00	85.623
1083.00	85.585
1084.00	85.495
1085.00	85.468
1086.00	85.542
1087.00	85.527
1088.00	85.486
1089.00	85.440
1090.00	85.390
1091.00	85.403
1092.00	85.477
1093.00	85.526
1094.00	85.432
1095.00	85.390
1096.00	85.408
1097.00	85.428
1098.00	85.478
1099.00	85.381
1100.00	85.323
