"RawData - File_210319_171149.spc"
"Wavelength nm."	"Abs."
585.00	0.038
586.00	0.037
587.00	0.037
588.00	0.037
589.00	0.036
590.00	0.036
591.00	0.036
592.00	0.036
593.00	0.036
594.00	0.036
595.00	0.036
596.00	0.036
597.00	0.035
598.00	0.035
599.00	0.035
600.00	0.035
601.00	0.035
602.00	0.035
603.00	0.035
604.00	0.035
605.00	0.035
606.00	0.035
607.00	0.035
608.00	0.035
609.00	0.035
610.00	0.035
611.00	0.035
612.00	0.035
613.00	0.035
614.00	0.035
615.00	0.035
616.00	0.035
617.00	0.035
618.00	0.035
619.00	0.035
620.00	0.035
621.00	0.035
622.00	0.035
623.00	0.035
624.00	0.035
625.00	0.035
626.00	0.035
627.00	0.035
628.00	0.035
629.00	0.035
630.00	0.035
631.00	0.035
632.00	0.035
633.00	0.035
634.00	0.035
635.00	0.035
636.00	0.035
637.00	0.035
638.00	0.035
639.00	0.035
640.00	0.035
641.00	0.035
642.00	0.035
643.00	0.035
644.00	0.036
645.00	0.036
646.00	0.036
647.00	0.036
648.00	0.036
649.00	0.036
650.00	0.036
651.00	0.036
652.00	0.036
653.00	0.036
654.00	0.036
655.00	0.036
656.00	0.036
657.00	0.036
658.00	0.036
659.00	0.036
660.00	0.036
661.00	0.036
662.00	0.036
663.00	0.036
664.00	0.036
665.00	0.036
666.00	0.036
667.00	0.036
668.00	0.036
669.00	0.036
670.00	0.036
671.00	0.036
672.00	0.036
673.00	0.036
674.00	0.036
675.00	0.036
676.00	0.036
677.00	0.036
678.00	0.036
679.00	0.036
680.00	0.036
681.00	0.036
682.00	0.036
683.00	0.036
684.00	0.036
685.00	0.036
686.00	0.036
687.00	0.036
688.00	0.036
689.00	0.036
690.00	0.036
691.00	0.036
692.00	0.037
693.00	0.036
694.00	0.037
695.00	0.037
696.00	0.037
697.00	0.037
698.00	0.037
699.00	0.037
700.00	0.037
701.00	0.037
702.00	0.037
703.00	0.037
704.00	0.037
705.00	0.037
706.00	0.037
707.00	0.037
708.00	0.037
709.00	0.037
710.00	0.037
711.00	0.037
712.00	0.037
713.00	0.037
714.00	0.037
715.00	0.037
716.00	0.038
717.00	0.038
718.00	0.037
719.00	0.038
720.00	0.038
721.00	0.038
722.00	0.038
723.00	0.038
724.00	0.038
725.00	0.038
726.00	0.038
727.00	0.038
728.00	0.038
729.00	0.038
730.00	0.038
731.00	0.038
732.00	0.038
733.00	0.038
734.00	0.038
735.00	0.038
736.00	0.038
737.00	0.038
738.00	0.038
739.00	0.038
740.00	0.038
741.00	0.038
742.00	0.039
743.00	0.039
744.00	0.039
745.00	0.039
746.00	0.039
747.00	0.039
748.00	0.039
749.00	0.039
750.00	0.039
751.00	0.039
752.00	0.039
753.00	0.039
754.00	0.039
755.00	0.039
756.00	0.039
757.00	0.039
758.00	0.039
759.00	0.039
760.00	0.040
761.00	0.040
762.00	0.039
763.00	0.040
764.00	0.040
765.00	0.040
766.00	0.040
767.00	0.040
768.00	0.040
769.00	0.040
770.00	0.040
771.00	0.040
772.00	0.040
773.00	0.040
774.00	0.040
775.00	0.040
776.00	0.040
777.00	0.040
778.00	0.040
779.00	0.040
780.00	0.040
781.00	0.040
782.00	0.040
783.00	0.040
784.00	0.041
785.00	0.041
786.00	0.041
787.00	0.041
788.00	0.041
789.00	0.041
790.00	0.041
791.00	0.041
792.00	0.041
793.00	0.041
794.00	0.041
795.00	0.041
796.00	0.041
797.00	0.041
798.00	0.041
799.00	0.041
