"RawData - File_210310_125647.spc"
"Wavelength nm."	"Abs."
400.00	3.080
401.00	3.119
402.00	3.034
403.00	3.004
404.00	2.932
405.00	2.839
406.00	2.745
407.00	2.633
408.00	2.516
409.00	2.395
410.00	2.251
411.00	2.118
412.00	1.979
413.00	1.853
414.00	1.727
415.00	1.604
416.00	1.499
417.00	1.401
418.00	1.312
419.00	1.235
420.00	1.168
421.00	1.110
422.00	1.060
423.00	1.019
424.00	0.983
425.00	0.955
426.00	0.935
427.00	0.919
428.00	0.910
429.00	0.907
430.00	0.909
431.00	0.917
432.00	0.930
433.00	0.947
434.00	0.970
435.00	0.997
436.00	1.029
437.00	1.066
438.00	1.108
439.00	1.155
440.00	1.206
441.00	1.263
442.00	1.324
443.00	1.393
444.00	1.470
445.00	1.556
446.00	1.650
447.00	1.751
448.00	1.858
449.00	1.968
450.00	2.086
451.00	2.210
452.00	2.337
453.00	2.462
454.00	2.573
455.00	2.676
456.00	2.747
457.00	2.818
458.00	2.866
459.00	2.898
460.00	2.916
461.00	2.936
462.00	2.939
463.00	2.960
464.00	2.960
465.00	2.963
466.00	2.946
467.00	2.956
468.00	2.969
469.00	2.960
470.00	2.969
471.00	2.959
472.00	2.985
473.00	2.970
474.00	2.973
475.00	2.972
476.00	2.982
477.00	2.982
478.00	2.984
479.00	2.980
480.00	2.971
481.00	2.981
482.00	2.977
483.00	2.979
484.00	2.988
485.00	2.979
486.00	2.991
487.00	2.981
488.00	2.986
489.00	2.992
490.00	3.003
491.00	3.003
492.00	2.994
493.00	2.999
494.00	3.006
495.00	3.000
496.00	3.001
497.00	3.000
498.00	3.005
499.00	3.003
500.00	3.007
501.00	3.001
502.00	3.008
503.00	3.001
504.00	3.012
505.00	3.009
506.00	2.997
507.00	3.001
508.00	2.996
509.00	3.004
510.00	2.999
511.00	3.003
512.00	3.004
513.00	3.010
514.00	3.001
515.00	3.009
516.00	3.001
517.00	3.007
518.00	3.005
519.00	3.005
520.00	3.002
521.00	3.007
522.00	3.010
523.00	3.010
524.00	3.013
525.00	3.009
526.00	3.010
527.00	3.007
528.00	3.006
529.00	3.011
530.00	3.006
531.00	3.008
532.00	3.010
533.00	3.013
534.00	3.007
535.00	3.014
536.00	2.929
537.00	2.844
538.00	2.839
539.00	2.841
540.00	2.841
541.00	2.845
542.00	2.846
543.00	2.845
544.00	2.838
545.00	2.846
546.00	2.842
547.00	2.841
548.00	2.839
549.00	2.842
550.00	2.843
551.00	2.844
552.00	2.837
553.00	2.837
554.00	2.835
555.00	2.836
556.00	2.833
557.00	2.831
558.00	2.829
559.00	2.830
560.00	2.826
561.00	2.826
562.00	2.824
563.00	2.819
564.00	2.815
565.00	2.812
566.00	2.808
567.00	2.801
568.00	2.785
569.00	2.740
570.00	2.638
571.00	2.442
572.00	2.194
573.00	1.930
574.00	1.672
575.00	1.438
576.00	1.240
577.00	1.068
578.00	0.919
579.00	0.796
580.00	0.687
581.00	0.595
582.00	0.517
583.00	0.452
584.00	0.397
585.00	0.349
586.00	0.309
587.00	0.274
588.00	0.244
589.00	0.219
590.00	0.198
591.00	0.179
592.00	0.163
593.00	0.150
594.00	0.139
595.00	0.129
596.00	0.120
597.00	0.113
598.00	0.107
599.00	0.101
600.00	0.096
601.00	0.092
602.00	0.089
603.00	0.086
604.00	0.083
605.00	0.080
606.00	0.078
607.00	0.076
608.00	0.074
609.00	0.073
610.00	0.071
611.00	0.070
612.00	0.069
613.00	0.068
614.00	0.067
615.00	0.066
616.00	0.066
617.00	0.065
618.00	0.065
619.00	0.064
620.00	0.064
621.00	0.063
622.00	0.063
623.00	0.063
624.00	0.062
625.00	0.062
626.00	0.062
627.00	0.061
628.00	0.061
629.00	0.061
630.00	0.061
631.00	0.060
632.00	0.060
633.00	0.060
634.00	0.060
635.00	0.060
636.00	0.060
637.00	0.060
638.00	0.059
639.00	0.059
640.00	0.059
641.00	0.059
642.00	0.059
643.00	0.059
644.00	0.059
645.00	0.059
646.00	0.058
647.00	0.058
648.00	0.058
649.00	0.058
650.00	0.058
