power	integration	peak value	peak location
-0,007892	3668,583637	0,000000	0,000000
-0,006323	3200,913177	0,000000	0,000000
-0,006453	3200,913177	0,000000	0,000000
-0,009679	10444,640270	0,000000	0,000000
-0,007943	10271,376816	0,000000	0,000000
-0,005864	13978,463443	0,000000	0,000000
-0,006120	13978,463443	0,000000	0,000000
-0,006635	19920,132117	0,000000	0,000000
-0,007530	20179,792523	0,000000	0,000000
-0,006685	21185,565741	0,000000	0,000000
-0,006049	21437,243819	0,000000	0,000000
-0,006215	21437,243819	0,000000	0,000000
-0,005862	22711,129319	0,000000	0,000000
-0,005262	39398,418950	556,068113	589,461835
-0,005262	39398,418950	556,068113	589,461835
-0,005753	52847,701060	576,484052	581,828709
-0,005632	51741,444430	624,416920	584,953954
-0,006473	56169,288241	655,135531	584,953954
-0,005923	68362,997249	604,560500	578,352003
-0,005688	77314,003249	917,548928	584,953954
-0,008925	77118,671009	657,842193	577,308129
-0,008925	77118,671009	657,842193	577,308129
-0,009178	79735,935209	1038,041620	589,808282
-0,005654	101784,531376	1324,061165	588,075597
-0,004411	104369,866268	1372,454491	590,501044
-0,003603	105373,291742	1382,779945	589,461835
-0,003886	116270,576915	1370,975548	584,606882
-0,005087	119893,144784	1418,594315	585,647964
-0,005782	142598,639519	1808,554172	594,999628
-0,006740	140596,014508	1851,551313	589,808282
-0,004769	152090,565569	1980,406260	589,461835
-0,005818	162699,547868	2128,287523	589,808282
-0,008076	159600,996297	2112,236759	589,808282
-0,005007	177079,475411	2363,515832	589,808282
-0,002948	186854,069751	2474,639123	591,539851
-0,003273	182321,047041	2410,117205	593,270300
-0,003870	210845,188702	2761,669315	592,232165
-0,003793	206885,954448	2702,590963	589,461835
-0,002823	210198,620205	2744,937478	590,847357
-0,003001	207907,692320	2724,791122	590,154685
-0,002766	218198,790179	2877,310336	590,154685
-0,002667	248533,981001	3265,717172	592,578255
-0,002290	257987,404061	2544,850343	611,543777
-0,002368	263987,766317	3486,160618	590,154685
-0,002454	276849,643060	3659,310307	590,154685
-0,001347	276293,697453	3574,577523	591,886030
-0,000728	278694,030174	3661,666092	591,886030
-0,000976	290501,770188	3747,097239	589,808282
-0,000528	319390,751154	4226,364950	593,270300
-0,000180	319020,746814	3187,911804	611,200174
-0,000359	318136,586698	4203,730583	593,270300
-0,000754	346481,830322	4522,067299	590,501044
-0,001913	346481,830322	4522,067299	590,501044
-0,002394	357322,769656	4622,908627	589,461835
-0,002314	357322,769656	4622,908627	589,461835
-0,001023	376597,741921	4919,804018	592,924300
-0,000846	361804,611563	4657,947002	591,539851
-0,001098	390195,401406	5106,480844	592,924300
-0,001098	397254,595877	5186,663866	590,847357
-0,000981	403513,679441	5191,909334	590,501044
-0,000981	406645,568966	5332,148964	591,193626
-0,001964	402098,459797	5178,613509	590,501044
-0,001697	435770,263357	5736,952210	592,578255
-0,001285	435770,263357	5736,952210	592,578255
-0,001285	441219,845040	5688,900085	591,539851
-0,001414	448461,693938	5740,550553	590,847357
-0,001166	462622,811808	6043,564930	590,847357
-0,001166	462622,811808	6043,564930	590,847357
-0,000685	456567,512360	5871,763377	590,847357
-0,000734	480487,259916	6255,463591	591,193626
-0,000983	496250,947343	6397,937622	591,886030
-0,000780	496250,947343	6397,937622	591,886030
-0,000517	500200,321076	6435,969270	591,193626
-0,001680	500200,321076	6435,969270	591,193626
-0,001545	516267,806483	6712,595427	591,193626
-0,001419	528432,403474	6860,370535	590,847357
-0,001227	518554,038881	6762,190708	591,539851
-0,000073	516777,736322	6694,838724	592,232165
0,000230	516777,736322	6694,838724	592,232165
0,000026	560199,717692	7266,208803	593,616255
0,000010	536473,893730	6954,898415	591,193626
0,000163	534270,301895	6915,883546	592,232165
0,001696	561128,954479	7254,788318	590,154685
0,001077	561575,025700	7212,689703	592,232165
0,006635	549771,981173	7131,986649	592,232165
0,003921	563371,988401	7221,163671	591,539851
0,004120	563371,988401	7221,163671	591,539851
0,003976	564600,797230	7331,072029	592,232165
0,004362	565610,796386	7263,833802	590,501044
0,004856	566664,933115	5695,863912	612,230846
0,006528	579187,326181	7494,841629	592,232165
0,006827	579187,326181	7494,841629	592,232165
0,006567	570225,520562	7437,698359	592,232165
0,005291	607411,895800	7903,830470	591,539851
0,004482	572205,607237	7448,503790	592,232165
0,004492	566903,463831	7322,987942	592,232165
0,003872	572697,694227	7356,861932	592,578255
0,004016	614968,811845	7885,105184	590,501044
0,004772	600663,072990	7761,447064	593,270300
0,004866	583132,004427	7555,232270	592,578255
0,005161	592313,089267	7638,176508	591,886030
0,005367	596071,826246	7666,390883	590,501044
0,006846	570344,785920	7349,315301	592,578255
0,006247	570344,785920	7349,315301	592,578255
